Price,Close,High,Low,Open,Volume
Ticker,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD
Date,,,,,
2021-10-05,123.15699768066406,124.01631164550781,115.51842498779297,116.77378845214844,177205094
2021-10-06,125.46672821044922,126.9991226196289,115.02532196044922,123.15557098388672,252998363
2021-10-07,125.34003448486328,129.2664794921875,121.83085632324219,125.4515151977539,220156772
2021-10-08,123.4819107055664,127.69473266601562,122.91974639892578,125.34188079833984,159348741
2021-10-09,127.30664825439453,128.2035675048828,122.19562530517578,123.39896392822266,145607051
2021-10-10,119.82887268066406,127.69396209716797,119.44890594482422,127.384521484375,164727480
2021-10-11,119.67179107666016,125.49945068359375,116.65767669677734,119.6556167602539,168508233
2021-10-12,116.1693115234375,119.77239990234375,111.74824523925781,119.77239990234375,183133472
2021-10-13,119.40364837646484,119.49321746826172,113.37818145751953,116.26878356933594,182961475
2021-10-14,121.4933853149414,122.55821990966797,119.01117706298828,119.30854797363281,140765317
2021-10-15,126.10049438476562,126.85824584960938,119.11137390136719,121.58477020263672,218941234
2021-10-16,126.11346435546875,127.93468475341797,123.69721984863281,126.10169982910156,154078417
2021-10-17,137.54054260253906,140.3712921142578,124.42342376708984,126.01860809326172,316845506
2021-10-18,140.88661193847656,145.3359375,135.2991485595703,137.53924560546875,366660949
2021-10-19,144.40313720703125,147.24330139160156,139.9238739013672,140.69317626953125,273990578
2021-10-20,149.57069396972656,151.28245544433594,144.0757293701172,144.31158447265625,252511003
2021-10-21,155.011474609375,158.79478454589844,147.5450897216797,149.8601531982422,401499654
2021-10-22,164.371337890625,166.16725158691406,155.09596252441406,155.10226440429688,379525021
2021-10-23,173.64215087890625,174.15606689453125,164.08865356445312,164.37420654296875,411183892
2021-10-24,173.74400329589844,190.36708068847656,170.6790313720703,173.73147583007812,679323790
2021-10-25,170.11300659179688,176.98080444335938,169.26458740234375,173.06442260742188,369020753
2021-10-26,161.34922790527344,171.48776245117188,159.2936553955078,170.10128784179688,299744706
2021-10-27,147.05845642089844,162.7539825439453,143.73419189453125,161.16702270507812,380333700
2021-10-28,159.17535400390625,160.4446258544922,144.2189483642578,147.142578125,402942763
2021-10-29,162.00558471679688,163.57785034179688,156.79257202148438,159.0919952392578,267969214
2021-10-30,153.1367950439453,162.3956756591797,150.6813507080078,161.91697692871094,229472697
2021-10-31,166.8091278076172,187.52198791503906,152.07228088378906,153.07052612304688,731090019
2021-11-01,169.2660675048828,173.10836791992188,161.72006225585938,167.18386840820312,365046837
2021-11-02,171.66372680664062,179.9104766845703,167.73065185546875,169.25106811523438,311811415
2021-11-03,168.21421813964844,172.18142700195312,160.84901428222656,171.7571563720703,316709011
2021-11-04,163.5507049560547,171.68994140625,160.24624633789062,168.3959197998047,254843313
2021-11-05,163.16026306152344,168.33602905273438,160.75259399414062,163.63006591796875,216404498
2021-11-06,159.70123291015625,166.44134521484375,155.68722534179688,162.9775390625,207483540
2021-11-07,164.232666015625,165.16123962402344,158.55154418945312,159.8168487548828,185485639
2021-11-08,170.96823120117188,171.6248321533203,163.77725219726562,164.23956298828125,243529300
2021-11-09,198.8115997314453,199.39553833007812,169.72581481933594,170.8754119873047,649619930
2021-11-10,180.0124053955078,204.19366455078125,172.27386474609375,199.97337341308594,701888520
2021-11-11,205.4046173095703,217.9896697998047,177.24697875976562,180.00643920898438,890560431
2021-11-12,201.4161834716797,209.7314453125,190.7927703857422,204.7794647216797,462405763
2021-11-13,199.58644104003906,212.4375457763672,199.01364135742188,201.64540100097656,402252915
2021-11-14,201.5500030517578,202.376708984375,192.28501892089844,199.29486083984375,269662992
2021-11-15,195.1506805419922,204.17684936523438,192.5373992919922,201.76925659179688,344577170
2021-11-16,165.96531677246094,195.79986572265625,164.24586486816406,195.79986572265625,549842813
2021-11-17,159.03567504882812,167.76734924316406,153.27284240722656,165.75022888183594,466262691
2021-11-18,147.89462280273438,162.2018585205078,141.9537811279297,159.2960662841797,495575485
2021-11-19,158.93821716308594,163.02122497558594,146.55870056152344,147.8878173828125,437068157
2021-11-20,179.2556915283203,188.73780822753906,158.75794982910156,158.9230499267578,915930590
2021-11-21,229.9307098388672,234.04159545898438,177.28662109375,179.36517333984375,1389910806
2021-11-22,205.86599731445312,236.6693572998047,198.00680541992188,228.8287353515625,1059398291
2021-11-23,217.43905639648438,220.5185089111328,196.46348571777344,206.13592529296875,805392669
2021-11-24,247.29086303710938,273.8404541015625,217.8232421875,218.62484741210938,1077838895
2021-11-25,276.619140625,303.9451904296875,252.8184356689453,261.0631408691406,1752979017
2021-11-26,245.68301391601562,296.75616455078125,242.74420166015625,294.5120544433594,1317284283
2021-11-27,243.86866760253906,272.3293762207031,240.58462524414062,246.55264282226562,916250085
2021-11-28,241.40597534179688,244.02243041992188,216.68423461914062,244.02243041992188,810719920
2021-11-29,246.53700256347656,254.7457275390625,238.36544799804688,241.64488220214844,655455804
2021-11-30,220.58216857910156,247.38714599609375,215.0330352783203,246.63162231445312,747914740
2021-12-01,229.6040802001953,246.1937713623047,216.3525390625,220.1667022705078,837592995
2021-12-02,225.274169921875,229.90960693359375,214.31707763671875,229.8867950439453,550179749
2021-12-03,206.17608642578125,237.80905151367188,201.96119689941406,225.2792510986328,664891251
2021-12-04,187.496337890625,206.98182678222656,143.42921447753906,206.98182678222656,1035810878
2021-12-05,182.4995880126953,194.47947692871094,170.71827697753906,187.39720153808594,875282952
2021-12-06,181.37908935546875,184.60501098632812,161.3426055908203,182.7027130126953,770604331
